model,sort_influence_m,figure,CASSIOPE / Swarm-E |dr| km,CASSIOPE / Swarm-E |dv| km/s,CASSIOPE / Swarm-E influence m,Sentinel-1B |dr| km,Sentinel-1B |dv| km/s,Sentinel-1B influence m,Sentinel-1A |dr| km,Sentinel-1A |dv| km/s,Sentinel-1A influence m,Swarm B |dr| km,Swarm B |dv| km/s,Swarm B influence m,Swarm C |dr| km,Swarm C |dv| km/s,Swarm C influence m,Swarm A |dr| km,Swarm A |dv| km/s,Swarm A influence m
Baseline,0.0,,0.5498552254052699,0.0004460204926344765,0.0,0.5133123863942408,0.0007733673497429506,0.0,3.2352927673244447,0.0036038044136013267,0.0,2.204943434693098,0.002146461927852082,0.0,8.2682059618091,0.008886962996687743,0.0,8.186139982155076,0.008809484331078853,0.0
2. Gravity Field EGM2008,4653.622569612459,2_gravity_field_egm2008.png,3.993874924072108,0.003612280564565334,3681.800531654312,4.760690054071085,0.0049960841033100875,4270.104786444422,4.919342254065754,0.00520841709361663,1685.0345441158438,9.213836774772595,0.009974236736775303,7009.138272391877,2.622167323862316,0.0028564127139489104,5674.194999885856,2.6073695297857973,0.002868904838670009,5601.462283182445
1. rk4_fixed integrator,507.8817090862478,1_rk4_fixed_integrator.png,0.8486038309608418,0.0005658735149105932,433.601580401228,0.9445584709471969,0.0012324221868004368,440.4932332516496,2.7951515570992744,0.0031352074253030633,440.24354605678906,2.7661858167097146,0.002765820028302869,561.459754506107,7.682854567539142,0.008239041841531757,585.7463074781925,7.600818192639585,0.0081616236653321,585.7458328235209
3. Atmosphere NRLMSISE-00,215.1401988074155,3_atmosphere_nrlmsise_00.png,0.7727777739809708,0.000514832886620982,351.0653021412974,0.5176753448712116,0.0007779959091817342,4.52786185225871,3.1883827001531166,0.003553629561914611,46.915598227781416,2.4078636200521797,0.00237214141374853,203.02409073667027,7.925169071232734,0.00850625432583992,343.1977094141181,7.8442045614682865,0.008429954336168438,342.11063047236723
7. Solid Earth tides,10.344054306734025,7_solid_earth_tides.png,0.5478739970499192,0.0004462003887346902,5.953267213477294,0.49645343578132983,0.0007545300973549593,17.687097280688075,3.250020623525447,0.0036198350984722083,14.767092166630576,2.21437403447462,0.00215693365397744,9.45603556545066,8.2744598419321,0.008893876026463915,7.255091356470154,8.192073748824544,0.008816034329133105,6.945742257687392
8. Schwarzschild relativity,1.179334306076717,8_schwarzschild_relativity.png,0.54948643861487,0.0004461463283022301,0.8028199154803984,0.5121734477561125,0.0007721335500908927,1.1886478202037702,3.236485786166483,0.0036050809553220477,1.1930874192871328,2.2036602246383037,0.002145053526412796,1.2836074591112072,8.269509451953944,0.008888398985904999,1.3039472733052282,8.187443381130851,0.008810920145613192,1.3038959490725655
4. Cylindrical Earth shadow,0.9031617594306987,4_cylindrical_earth_shadow.png,0.5516243773838616,0.0004451645082013941,4.236678087429805,0.5133123863942408,0.0007733673497429506,0.0,3.234940863165622,0.0036034722236631352,0.3519537361423588,2.204403534886698,0.002145791550422893,0.5844460356936376,8.268075343817028,0.008886859197229586,0.15955749084374793,8.186168350812256,0.00880954540505055,0.0863352064746429
5. Conical Earth shadow,0.8498944273822603,5_conical_earth_shadow.png,0.5516241924648251,0.00044516483585271664,4.235630905838391,0.5133123863942408,0.0007733673497429506,0.0,3.2351767619076512,0.003603708839012388,0.11606542656587225,2.2044101625808983,0.0021457989462400216,0.5779855153166539,8.26817324524773,0.008886958539439747,0.0826324011471167,8.186104334641787,0.008809475577152734,0.08705231542552776
6. Earth IR radiation,0.23604799620643144,6_earth_ir_radiation.png,0.5497341180860605,0.00044605246141186505,0.25175097271503744,0.5130098920148745,0.0007730398357072378,0.3157011282657577,3.2356090297987232,0.0036041430229267453,0.3162806333359026,2.204766984413572,0.0021462681726903098,0.17650338471267266,8.268383927910477,0.00888715896788558,0.178025981533289,8.186317942844836,0.0088096802854992,0.17802587667592937
